USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
22100,99999,BLAHAMMAREN,SE,,,63.183,12.167,1090,20100920,20250817
22190,99999,GADDEDE A,SE,,,64.5,14.217,550,20080301,20250817
22210,99999,KORSVATTNET,SE,,,63.833,13.5,717,19971201,20250823
22260,99999,ARE OSTERSUND,SE,,ESNZ,63.2,14.5,376,19350101,20250824
22290,99999,OSTERSUND-SOL,SE,,,63.2,14.483,374,19970901,20250817
22300,99999,GUBBHOGEN,SE,,,64.217,15.55,310,19730101,20241009
22310,99999,FOLLINGE,SE,,,63.683,14.6,362,20010701,20241009
22360,99999,HALLHAXASEN,SE,,,63.767,15.333,376,19770701,20250118
22420,99999,HOTING,SE,,,64.083,16.233,241,19730101,20250519
22430,99999,JUNSELE,SE,,,63.683,16.95,214,19730101,20241212
22450,99999,VILHELMINA,SE,,,64.583,16.85,349,19960801,20241009
22455,99999,LYCKSELE,SE,,ESNL,64.548,18.716,214.9,19980408,20250824
22470,99999,KRANGEDE,SE,,,63.15,16.167,184,19730101,20250119
22540,99999,ASELE,SE,,,64.167,17.317,308,19770701,20241009
22590,99999,KRAMFORS SOLLEFTEA,SE,,ESNK,63.049,17.769,10.4,19770701,20250824
22600,99999,VASTMARKUM,SE,,,63.133,18.25,143,19730101,20241009
